hand,height,player,age,ace,df,bpSaved
R,180.0,100837 - Jeremy Bates,31 ~ 35,3.458823529411765,3.9647058823529413,0.5352941176470588
R,170.0,100852 - Howard Herr,31 ~ 35,0.0,2.0,0.25
R,188.0,100855 - Scott Davis,26 ~ 30,3.388888888888889,5.583333333333333,0.49305555555555564
R,188.0,100855 - Scott Davis,31 ~ 35,3.0,0.0,0.6
R,185.0,100857 - Sergio Casal,26 ~ 30,3.3333333333333335,1.6666666666666667,0.4566666666666667
R,185.0,100857 - Sergio Casal,31 ~ 35,2.0,2.0,0.22
R,183.0,100864 - Martin Wostenholme,26 ~ 30,1.9285714285714286,2.5714285714285716,0.5021428571428572
L,178.0,100865 - Marcelo Ingaramo,26 ~ 30,0.3333333333333333,0.6666666666666666,0.64
L,178.0,100865 - Marcelo Ingaramo,31 ~ 35,0.5,2.5,0.5700000000000001
R,193.0,100866 - Shahar Perkiss,26 ~ 30,3.0,0.0,0.605
R,185.0,100870 - Christo Van Rensburg,26 ~ 30,4.136986301369863,6.808219178082192,0.5608219178082192
R,185.0,100870 - Christo Van Rensburg,31 ~ 35,3.2,6.7,0.5239999999999999
R,180.0,100876 - Bong Soo Kim,26 ~ 30,3.3333333333333335,2.0,0.5
R,180.0,100876 - Bong Soo Kim,31 ~ 35,6.0,0.6666666666666666,0.5233333333333333
R,190.0,100892 - Alexandre Hocevar,26 ~ 30,2.0,8.0,0.43
R,183.0,100894 - Francesco Cancellotti,26 ~ 30,1.25,1.0,0.5
R,185.0,100901 - Paul Annacone,26 ~ 30,8.2,6.6,0.5319999999999999
R,183.0,100904 - George Bezecny,26 ~ 30,3.0,2.0,0.0
R,188.0,100917 - Nelson Aerts,26 ~ 30,2.0,6.5,0.74
R,190.0,100920 - Robert Seguso,26 ~ 30,4.0,6.0,0.4
R,180.0,100923 - Wally Masur,26 ~ 30,4.8896103896103895,2.207792207792208,0.5637012987012987
R,180.0,100923 - Wally Masur,31 ~ 35,4.388888888888889,2.0555555555555554,0.4675
R,180.0,100924 - Jorge Lozano,26 ~ 30,1.0,5.0,0.29
R,185.0,100926 - Ken Flach,26 ~ 30,7.0,2.0,0.36000000000000004
R,185.0,100926 - Ken Flach,31 ~ 35,9.666666666666666,6.666666666666667,0.6566666666666666
R,188.0,100930 - Paul Vojtischek,26 ~ 30,1.0,1.3333333333333333,0.46
R,185.0,100935 - Michael Robertson,26 ~ 30,2.0,1.0,0.43
L,185.0,100936 - Henri Leconte,26 ~ 30,6.814285714285714,4.457142857142857,0.609
L,185.0,100936 - Henri Leconte,31 ~ 35,5.088888888888889,4.711111111111111,0.5133333333333332
L,185.0,100939 - Joey Rive,26 ~ 30,2.5,4.0,0.52
R,178.0,100942 - Thierry Tulasne,26 ~ 30,1.6666666666666667,5.333333333333333,0.5366666666666666
R,173.0,100943 - Girts Dzelde,26 ~ 30,0.4444444444444444,3.4444444444444446,0.5488888888888889
R,173.0,100943 - Girts Dzelde,31 ~ 35,0.5,8.5,0.665
R,173.0,100944 - Mikael Pernfors,26 ~ 30,3.148936170212766,2.6382978723404253,0.5497872340425531
R,173.0,100944 - Mikael Pernfors,31 ~ 35,1.5,3.8333333333333335,0.425
R,198.0,100946 - Slobodan Zivojinovic,26 ~ 30,12.11111111111111,3.2222222222222223,0.6888888888888889
R,193.0,100949 - Mauro Menezes,26 ~ 30,1.0,3.3333333333333335,0.15
R,196.0,100950 - Libor Pimek,26 ~ 30,1.3333333333333333,6.333333333333333,0.3733333333333333
R,183.0,100954 - Luiz Mattar,26 ~ 30,5.56198347107438,2.1818181818181817,0.575289256198347
R,183.0,100954 - Luiz Mattar,31 ~ 35,4.235294117647059,1.7058823529411764,0.6211764705882353
R,185.0,100955 - Yahiya Doumbia,26 ~ 30,6.0,4.75,0.5875
R,185.0,100955 - Yahiya Doumbia,31 ~ 35,3.3333333333333335,2.1666666666666665,0.5833333333333334
R,190.0,100962 - Thomas Hogstedt,26 ~ 30,4.291666666666667,3.7916666666666665,0.45625
R,190.0,100962 - Thomas Hogstedt,31 ~ 35,4.0,2.0,0.57
R,188.0,100967 - Dan Goldie,26 ~ 30,3.3043478260869565,7.913043478260869,0.5782608695652173
R,193.0,100970 - Stefan Eriksson,26 ~ 30,1.0,3.0,0.33
R,183.0,100972 - Todd Witsken,26 ~ 30,2.4782608695652173,3.3043478260869565,0.46855072463768116
R,190.0,100978 - Andrew Castle,26 ~ 30,4.444444444444445,4.333333333333333,0.5355555555555555
R,203.0,100990 - Milan Srejber,26 ~ 30,7.0,5.0,0.66
L,178.0,100995 - Eduardo Masso,26 ~ 30,0.782608695652174,2.130434782608696,0.47217391304347833
R,185.0,100997 - Roger Smith,26 ~ 30,2.5454545454545454,2.3636363636363638,0.5081818181818182
R,185.0,100997 - Roger Smith,31 ~ 35,2.0,4.25,0.49
R,170.0,101000 - Carl Limberger,26 ~ 30,2.0,2.3333333333333335,0.4553333333333333
R,180.0,101003 - Ricardo Acioly,26 ~ 30,3.0,6.5,0.46
R,193.0,101004 - Jim Pugh,26 ~ 30,4.4,4.9,0.49400000000000005
R,193.0,101004 - Jim Pugh,31 ~ 35,3.0,3.0,0.51
R,173.0,101009 - John Sobel,26 ~ 30,0.3333333333333333,1.3333333333333333,0.3566666666666667
R,185.0,101014 - John Ross,26 ~ 30,7.0,3.0,0.85
L,185.0,101016 - Marcos Aurelio Gorriz,26 ~ 30,2.0166666666666666,1.8666666666666667,0.5148333333333334
L,185.0,101016 - Marcos Aurelio Gorriz,31 ~ 35,3.037037037037037,1.2222222222222223,0.5607407407407407
R,185.0,101022 - Kelly Jones,26 ~ 30,2.4,2.85,0.596
R,185.0,101022 - Kelly Jones,31 ~ 35,0.0,0.0,0.67
R,193.0,101026 - Jim Grabb,26 ~ 30,6.521739130434782,3.181159420289855,0.5769565217391305
R,193.0,101026 - Jim Grabb,31 ~ 35,6.478260869565218,4.391304347826087,0.5719565217391305
R,175.0,101027 - Jaroslav Bulant,26 ~ 30,3.0,4.0,0.64
R,175.0,101027 - Jaroslav Bulant,31 ~ 35,1.5,1.5,0.5700000000000001
R,180.0,101030 - Goran Prpic,26 ~ 30,2.4634146341463414,2.5528455284552845,0.5217073170731708
R,180.0,101030 - Goran Prpic,31 ~ 35,3.0,2.0,0.43
R,173.0,101031 - Massimo Cierro,26 ~ 30,1.3333333333333333,1.9444444444444444,0.5155555555555555
R,180.0,101035 - Menno Oosting,26 ~ 30,3.3333333333333335,1.6666666666666667,0.6266666666666667
R,190.0,101050 - Martin Laurendeau,26 ~ 30,2.8095238095238093,5.476190476190476,0.5114285714285715
R,190.0,101058 - Francisco Yunis,26 ~ 30,1.25,1.375,0.4575
R,193.0,101059 - Richard Vogel,26 ~ 30,7.0,8.75,0.6174999999999999
R,175.0,101061 - Jimmy Arias,26 ~ 30,1.9558823529411764,2.8676470588235294,0.5476470588235294
R,175.0,101061 - Jimmy Arias,31 ~ 35,2.0,2.0,0.6
R,183.0,101062 - Mats Wilander,26 ~ 30,2.769230769230769,2.1846153846153844,0.5587692307692308
R,183.0,101062 - Mats Wilander,31 ~ 35,2.840909090909091,2.022727272727273,0.5345454545454547
R,175.0,101063 - Jordi Arrese,26 ~ 30,1.0268817204301075,2.1021505376344085,0.5251075268817205
R,175.0,101063 - Jordi Arrese,31 ~ 35,1.170731707317073,1.7804878048780488,0.4963414634146342
R,188.0,101066 - Richard Matuszewski,26 ~ 30,4.190476190476191,2.8095238095238093,0.5952380952380952
R,175.0,101071 - Tom Nijssen,26 ~ 30,5.454545454545454,3.5757575757575757,0.5809090909090909
R,175.0,101071 - Tom Nijssen,31 ~ 35,4.0,8.0,0.67
R,178.0,101073 - Martin Jaite,26 ~ 30,4.493975903614458,2.433734939759036,0.5243373493975905
R,180.0,101076 - Cesar Kist,26 ~ 30,9.0,5.0,0.62
R,185.0,101080 - Lawson Duncan,26 ~ 30,1.0,0.0,0.49
R,185.0,101083 - Tom Mercer,26 ~ 30,2.0,4.666666666666667,0.35000000000000003
R,188.0,101084 - Jakob Hlasek,26 ~ 30,5.84433962264151,3.561320754716981,0.5644811320754717
R,188.0,101084 - Jakob Hlasek,31 ~ 35,6.246376811594203,3.0579710144927534,0.5152173913043477
R,180.0,101086 - Ronald Agenor,26 ~ 30,3.3216783216783217,1.6573426573426573,0.5223076923076923
R,180.0,101086 - Ronald Agenor,31 ~ 35,2.8285714285714287,2.5428571428571427,0.5082857142857142
R,180.0,101086 - Ronald Agenor,36 ~ 40,2.5,3.0833333333333335,0.5758333333333334
R,180.0,101093 - Steve Devries,26 ~ 30,3.25,2.25,0.41000000000000003
L,190.0,101096 - Gary Muller,26 ~ 30,9.256756756756756,4.108108108108108,0.5313513513513514
L,188.0,101097 - Rick Leach,26 ~ 30,4.666666666666667,2.533333333333333,0.558
L,190.0,101098 - Guy Forget,26 ~ 30,8.762886597938145,2.2010309278350517,0.5543298969072166
L,190.0,101098 - Guy Forget,31 ~ 35,9.758620689655173,2.3448275862068964,0.5120689655172413
R,170.0,101105 - Jose Antonio Fernandez,26 ~ 30,0.0,2.0,0.29
